annual_income,loan_amount,loan_duration_months,age,credit_history,employment_length,housing,purpose,gender,age_group,label
46000.0,1546.0,24.0,24.0,delayed,4-7 yrs,rent,other,male,young,0
68400.0,5302.0,18.0,36.0,paid back duly,7+ yrs,free,car,male,middle,1
14100.0,5152.0,24.0,25.0,no credits,4-7 yrs,own,other,male,young,1
31500.0,433.0,6.0,24.0,delayed,<1 yr,rent,education,female,young,0
22100.0,3079.0,36.0,36.0,no credits,1-4 yrs,own,car,male,middle,1
33100.0,454.0,6.0,22.0,no credits,<1 yr,own,other,male,young,1
48500.0,3148.0,24.0,31.0,paid back duly,1-4 yrs,own,other,male,middle,1
60500.0,3509.0,18.0,25.0,no credits,4-7 yrs,own,other,female,young,1
12300.0,4795.0,36.0,30.0,no credits,<1 yr,own,other,female,young,1
39200.0,3031.0,45.0,21.0,no credits,1-4 yrs,rent,other,male,young,0
67500.0,3518.0,6.0,26.0,no credits,1-4 yrs,rent,car,male,young,1
55800.0,3660.0,24.0,28.0,no credits,1-4 yrs,own,other,female,young,1
61300.0,1736.0,12.0,31.0,no credits,4-7 yrs,own,furniture,female,middle,1
36100.0,1592.0,12.0,35.0,paid back duly,4-7 yrs,own,furniture,female,middle,1
67400.0,1344.0,24.0,37.0,paid back duly,4-7 yrs,own,car,male,middle,0
31700.0,2149.0,12.0,29.0,delayed,1-4 yrs,free,other,male,young,0
110000.0,1927.0,24.0,33.0,paid back duly,1-4 yrs,own,education,female,middle,1
49000.0,1364.0,10.0,64.0,no credits,1-4 yrs,own,car,female,senior,1
21600.0,2507.0,9.0,51.0,no credits,7+ yrs,free,car,male,senior,1
37500.0,1768.0,12.0,24.0,no credits,1-4 yrs,rent,furniture,male,young,1
46600.0,691.0,12.0,35.0,paid back duly,7+ yrs,own,car,male,middle,0
60200.0,1352.0,6.0,23.0,no credits,unemployed,rent,car,female,young,1
55700.0,1778.0,15.0,26.0,critical,<1 yr,rent,car,female,young,0
15800.0,1980.0,9.0,19.0,no credits,<1 yr,rent,furniture,female,young,0
45800.0,3758.0,24.0,23.0,no credits,unemployed,rent,other,female,young,1
47700.0,7432.0,36.0,54.0,existing paid,1-4 yrs,rent,car,female,senior,1
189100.0,5150.0,24.0,33.0,paid back duly,7+ yrs,own,furniture,male,middle,1
48100.0,5381.0,48.0,40.0,no credits,unemployed,free,other,male,middle,1
29600.0,11590.0,48.0,24.0,paid back duly,1-4 yrs,rent,car,female,young,0
60900.0,1203.0,6.0,43.0,no credits,7+ yrs,own,car,male,middle,1
108200.0,1437.0,9.0,29.0,delayed,4-7 yrs,own,car,male,young,0
27900.0,3711.0,36.0,27.0,no credits,1-4 yrs,own,education,male,young,1
16600.0,907.0,8.0,26.0,no credits,<1 yr,own,business,male,young,1
108500.0,1262.0,15.0,36.0,no credits,4-7 yrs,own,furniture,male,middle,1
114200.0,6070.0,18.0,33.0,paid back duly,7+ yrs,own,other,male,middle,1
49200.0,2121.0,12.0,30.0,paid back duly,1-4 yrs,own,car,male,young,1
55400.0,2346.0,24.0,35.0,paid back duly,4-7 yrs,own,car,male,middle,1
85100.0,3161.0,24.0,31.0,delayed,1-4 yrs,rent,business,male,middle,0
60300.0,3573.0,12.0,23.0,paid back duly,1-4 yrs,own,other,female,young,1
71500.0,6229.0,36.0,23.0,paid back duly,<1 yr,rent,furniture,female,young,0
61000.0,2835.0,24.0,53.0,no credits,7+ yrs,own,furniture,male,senior,1
43100.0,3077.0,12.0,52.0,no credits,1-4 yrs,own,other,male,senior,1
11000.0,2799.0,9.0,36.0,paid back duly,1-4 yrs,rent,car,male,middle,1
53200.0,1275.0,15.0,24.0,no credits,1-4 yrs,rent,furniture,female,young,0
31700.0,1295.0,12.0,25.0,no credits,<1 yr,rent,car,female,young,0
38100.0,5129.0,9.0,74.0,delayed,7+ yrs,free,car,female,senior,0
46300.0,1245.0,18.0,33.0,paid back duly,1-4 yrs,own,other,male,middle,0
47200.0,1442.0,18.0,32.0,delayed,4-7 yrs,free,car,male,middle,0
106500.0,339.0,12.0,45.0,delayed,7+ yrs,own,other,male,middle,1
44100.0,6361.0,18.0,41.0,paid back duly,7+ yrs,own,furniture,male,middle,1
34600.0,3913.0,36.0,23.0,no credits,1-4 yrs,own,other,male,young,1
34100.0,1374.0,6.0,36.0,no credits,1-4 yrs,own,furniture,male,middle,1
32100.0,5096.0,48.0,30.0,paid back duly,1-4 yrs,own,furniture,female,young,0
83300.0,2511.0,15.0,23.0,no credits,unemployed,rent,car,female,young,1
55700.0,1657.0,12.0,27.0,no credits,1-4 yrs,own,furniture,male,young,1
33100.0,1442.0,24.0,23.0,no credits,4-7 yrs,rent,car,female,young,0
42100.0,1603.0,24.0,55.0,no credits,7+ yrs,own,other,female,senior,1
40400.0,625.0,12.0,26.0,no credits,<1 yr,own,other,male,young,1
62600.0,2359.0,24.0,33.0,no credits,unemployed,own,furniture,male,middle,0
8500.0,2859.0,12.0,38.0,no credits,unemployed,own,car,male,middle,1
19300.0,7485.0,30.0,53.0,delayed,unemployed,own,car,female,senior,0
91600.0,11760.0,39.0,32.0,existing paid,4-7 yrs,rent,education,male,middle,1
13600.0,6681.0,48.0,38.0,existing paid,1-4 yrs,free,business,male,middle,1
28100.0,2629.0,20.0,29.0,existing paid,1-4 yrs,own,other,male,young,1
42500.0,1501.0,9.0,34.0,paid back duly,7+ yrs,own,education,female,middle,0
60800.0,3446.0,36.0,42.0,no credits,7+ yrs,own,furniture,male,middle,0
61100.0,2133.0,12.0,52.0,no credits,7+ yrs,free,car,female,senior,1
52200.0,1804.0,12.0,44.0,paid back duly,<1 yr,own,car,male,middle,1
21600.0,8086.0,36.0,42.0,existing paid,7+ yrs,own,car,male,middle,0
31200.0,3114.0,18.0,26.0,critical,<1 yr,rent,furniture,female,young,0
38700.0,1924.0,10.0,38.0,no credits,1-4 yrs,own,other,male,middle,1
27200.0,6224.0,48.0,50.0,existing paid,7+ yrs,free,education,male,middle,0
36400.0,4463.0,36.0,26.0,existing paid,1-4 yrs,own,other,male,young,0
51200.0,2580.0,21.0,41.0,existing paid,<1 yr,own,business,male,middle,0
59500.0,1344.0,12.0,43.0,existing paid,1-4 yrs,own,car,male,middle,1
35800.0,2745.0,21.0,32.0,paid back duly,4-7 yrs,own,furniture,male,middle,1
58300.0,2118.0,9.0,37.0,no credits,1-4 yrs,own,other,male,middle,1
12500.0,1820.0,18.0,30.0,no credits,1-4 yrs,own,car,male,young,1
110900.0,2728.0,15.0,35.0,paid back duly,4-7 yrs,own,other,male,middle,1
63900.0,640.0,12.0,49.0,no credits,1-4 yrs,own,car,male,middle,1
20900.0,6742.0,30.0,36.0,paid back duly,4-7 yrs,own,other,male,middle,1
18000.0,2284.0,24.0,28.0,no credits,4-7 yrs,own,other,male,young,1
27300.0,1217.0,18.0,47.0,no credits,1-4 yrs,own,furniture,male,middle,0
32100.0,7758.0,24.0,29.0,paid back duly,7+ yrs,rent,car,female,young,1
79900.0,1126.0,18.0,21.0,no credits,<1 yr,rent,other,female,young,1
36300.0,1258.0,24.0,57.0,no credits,1-4 yrs,own,other,female,senior,1
51300.0,9629.0,36.0,24.0,paid back duly,4-7 yrs,own,car,male,young,0
33100.0,7409.0,36.0,37.0,no credits,7+ yrs,own,business,male,middle,1
31600.0,11560.0,24.0,23.0,no credits,1-4 yrs,rent,car,female,young,0
16200.0,3342.0,36.0,51.0,paid back duly,7+ yrs,own,other,male,senior,1
60300.0,1255.0,12.0,61.0,paid back duly,7+ yrs,own,car,male,senior,1
34900.0,12204.0,48.0,48.0,critical,1-4 yrs,own,business,male,middle,1
60800.0,5433.0,24.0,26.0,no credits,unemployed,rent,car,female,young,1
70800.0,983.0,12.0,19.0,no credits,<1 yr,rent,furniture,female,young,1
23600.0,1721.0,15.0,36.0,no credits,<1 yr,own,car,male,middle,1
23200.0,2171.0,12.0,38.0,paid back duly,1-4 yrs,own,car,male,middle,1
61500.0,3939.0,11.0,40.0,paid back duly,1-4 yrs,own,car,male,middle,1
35900.0,2996.0,24.0,20.0,no credits,1-4 yrs,own,furniture,male,young,0
45100.0,1905.0,15.0,40.0,no credits,7+ yrs,rent,education,male,middle,1
16500.0,1449.0,9.0,27.0,no credits,4-7 yrs,own,business,female,young,1
16600.0,730.0,7.0,46.0,paid back duly,7+ yrs,rent,other,male,middle,1
32500.0,1884.0,12.0,39.0,no credits,7+ yrs,own,car,male,middle,1
44000.0,1409.0,12.0,54.0,paid back duly,7+ yrs,own,car,male,senior,1
24600.0,1330.0,12.0,26.0,no credits,<1 yr,own,car,male,young,1
7800.0,3804.0,36.0,42.0,critical,1-4 yrs,own,other,female,middle,0
26700.0,3448.0,5.0,74.0,no credits,4-7 yrs,own,business,male,senior,1
15200.0,2069.0,10.0,26.0,paid back duly,1-4 yrs,own,furniture,male,young,1
51600.0,783.0,6.0,26.0,delayed,1-4 yrs,own,car,male,young,1
